89025500: system.cpu: T0 : 0x402202 @code+514    :   gem5Op                   : IntAlu :  D=0x0000000000000000
89025500: system.cpu: T0 : 0x402206 @code+518    : mov	rsp, DS:[t0 + t0 + 0x52f200]
89025500: system.cpu: T0 : 0x402206 @code+518. 0 :   MOV_R_M : ld   rsp, DS:[t0 + t0 + 0x52f200] : MemRead :  D=0x00007fffffffee20 A=0x52f200
89025500: system.cpu: T0 : 0x40220e @code+526    : lea	r14, DS:[t0 + t0 + 0x403000]
89025500: system.cpu: T0 : 0x40220e @code+526. 0 :   LEA_R_M : lea   r14, DS:[t0 + t0 + 0x403000] : IntAlu :  D=0x0000000000403000
89025500: system.cpu: T0 : 0x402216 @code+534    : mov	rax, DS:[t0 + t0 + 0x52f238]
89025500: system.cpu: T0 : 0x402216 @code+534. 0 :   MOV_R_M : ld   rax, DS:[t0 + t0 + 0x52f238] : MemRead :  D=0x00289c80001887c0 A=0x52f238
89025500: system.cpu: T0 : 0x40221e @code+542    :   MFENCE                   : IntAlu : 
89025500: system.cpu: T0 : 0x402221 @code+545    : push	rax                  
89025500: system.cpu: T0 : 0x402221 @code+545. 0 :   PUSH_R : st   rax, SS:[t0 + rsp + 0xfffffffffffffff8] : MemWrite :  D=0x00289c80001887c0 A=0x7fffffffee18
89025500: system.cpu: T0 : 0x402221 @code+545. 1 :   PUSH_R : subi   rsp, rsp, 0x8 : IntAlu :  D=0x00007fffffffee18
89026000: system.cpu: T0 : 0x402222 @code+546    : popf	                     
89026000: system.cpu: T0 : 0x402222 @code+546. 0 :   POPF : ld   t1, SS:[t0 + rsp] : MemRead :  D=0x00289c80001887c0 A=0x7fffffffee18
89026000: system.cpu: T0 : 0x402222 @code+546. 1 :   POPF : addi   rsp, rsp, 0x8 : IntAlu :  D=0x00007fffffffee20
89026000: system.cpu: T0 : 0x402222 @code+546. 2 :   POPF : wrflags   t1, t0  : IntAlu :  D=0x0000000000180300
89026000: system.cpu: T0 : 0x402223 @code+547    :   MFENCE                   : IntAlu : 
89026000: system.cpu: T0 : 0x402226 @code+550    : mov	rax, DS:[t0 + t0 + 0x52f208]
89026000: system.cpu: T0 : 0x402226 @code+550. 0 :   MOV_R_M : ld   rax, DS:[t0 + t0 + 0x52f208] : MemRead :  D=0x0028fa80000acd00 A=0x52f208
89026000: system.cpu: T0 : 0x40222e @code+558    :   MFENCE                   : IntAlu : 
89026000: system.cpu: T0 : 0x402231 @code+561    : mov	rbx, DS:[t0 + t0 + 0x52f210]
